customer_id,customer_type,city,revenue,orders,avg_order_value
C00001,Returning,Madinah,92245.52,20,4612.28
C00002,New,Abha,66576.34,20,3328.82
C00003,New,Madinah,104074.37,25,4162.97
C00004,Returning,Makkah,33305.590000000004,18,1850.31
C00005,New,Riyadh,53871.41,16,3366.96
C00006,New,Dammam,34352.41,12,2862.7
C00007,Returning,Riyadh,55928.29,16,3495.52
C00008,Loyal,Makkah,63112.71,15,4207.51
C00009,New,Riyadh,68667.3,18,3814.85
C00010,New,Khobar,89344.29000000001,23,3884.53
C00011,New,Riyadh,41483.6,13,3191.05
C00012,New,Khobar,99752.91,25,3990.12
C00013,Loyal,Dammam,65862.41,22,2993.75
C00014,New,Khobar,76774.89,25,3071.0
C00015,New,Madinah,105375.0,33,3193.18
C00016,Loyal,Riyadh,101733.12,23,4423.18
C00017,Returning,Riyadh,86470.1,22,3930.46
C00018,Loyal,Khobar,107636.23,24,4484.84
C00019,Returning,Riyadh,57017.33,16,3563.58
C00020,Returning,Khobar,60733.84,17,3572.58
C00021,Loyal,Riyadh,62157.6,14,4439.83
C00022,Returning,Dammam,85689.73,23,3725.64
C00023,New,Abha,71708.97,18,3983.83
C00024,New,Dammam,105493.91,27,3907.18
C00025,Returning,Abha,73182.66,24,3049.28
C00026,Returning,Jeddah,119066.11,29,4105.73
C00027,Returning,Abha,85132.87999999999,24,3547.2
C00028,Loyal,Abha,92839.06,24,3868.29
C00029,Loyal,Khobar,30029.69,12,2502.47
C00030,Loyal,Dammam,86082.96,26,3310.88
C00031,Returning,Dammam,129337.05,30,4311.23
C00032,Returning,Abha,82347.5,28,2940.98
C00033,Loyal,Dammam,56095.37,17,3299.73
C00034,New,Jeddah,103328.92,22,4696.77
C00035,Returning,Abha,60432.36,20,3021.62
C00036,Returning,Makkah,50451.44,17,2967.73
C00037,Loyal,Abha,97729.57,29,3369.99
C00038,Returning,Riyadh,82753.09,22,3761.5
C00039,Returning,Jeddah,77941.81,18,4330.1
C00040,Loyal,Khobar,64935.59,18,3607.53
C00041,New,Riyadh,84204.04,25,3368.16
C00042,New,Riyadh,85053.43,23,3697.98
C00043,New,Jeddah,84128.11,22,3824.0
C00044,Loyal,Khobar,82705.24,23,3595.88
C00045,Returning,Dammam,88527.25,22,4023.97
C00046,Returning,Makkah,107729.26,28,3847.47
C00047,Loyal,Abha,73805.21,17,4341.48
C00048,New,Makkah,100239.85,26,3855.38
C00049,Loyal,Makkah,80434.85,21,3830.23
C00050,Loyal,Abha,96090.63,28,3431.81
C00051,Returning,Madinah,73079.93,20,3654.0
C00052,Returning,Dammam,108691.94,34,3196.82
C00053,New,Makkah,71579.93,18,3976.66
C00054,New,Dammam,83785.66,28,2992.34
C00055,Returning,Dammam,37640.82,13,2895.45
C00056,New,Abha,82658.1,20,4132.91
C00057,New,Madinah,85501.26,22,3886.42
C00058,Returning,Khobar,56177.77,15,3745.18
C00059,New,Makkah,44879.36,14,3205.67
C00060,Returning,Jeddah,81952.97,22,3725.14
C00061,New,Khobar,86063.52,15,5737.57
C00062,Loyal,Dammam,45193.67,16,2824.6
C00063,Loyal,Jeddah,25484.43,9,2831.6
C00064,New,Madinah,91200.53,23,3965.24
C00065,New,Riyadh,43518.76,15,2901.25
C00066,Returning,Abha,86693.3,24,3612.22
C00067,New,Jeddah,61929.31,19,3259.44
C00068,Returning,Dammam,84183.34,25,3367.33
C00069,Returning,Abha,63820.1,17,3754.12
C00070,New,Jeddah,65353.58,15,4356.91
C00071,Loyal,Dammam,77185.76,23,3355.9
C00072,Loyal,Dammam,66025.49,20,3301.27
C00073,Returning,Madinah,50571.07,16,3160.69
C00074,Loyal,Khobar,64008.020000000004,14,4572.0
C00075,Returning,Abha,81293.11,25,3251.72
C00076,New,Dammam,79835.20999999999,15,5322.35
C00077,Loyal,Jeddah,53952.89,17,3173.7
C00078,Returning,Riyadh,75338.20999999999,18,4185.46
C00079,New,Abha,70090.69,19,3688.98
C00080,Returning,Riyadh,67292.34999999999,19,3541.7
C00081,Returning,Dammam,80737.66,22,3669.89
C00082,New,Riyadh,67765.92,19,3566.63
C00083,Returning,Riyadh,87971.33,21,4189.11
C00084,Returning,Jeddah,84988.42,27,3147.72
C00085,Loyal,Madinah,73434.05,22,3337.91
C00086,Returning,Abha,100813.32,27,3733.83
C00087,Returning,Abha,100439.04000000001,26,3863.04
C00088,Loyal,Khobar,56855.22,22,2584.33
C00089,Loyal,Jeddah,55620.55,19,2927.4
C00090,Returning,Riyadh,79391.5,17,4670.09
C00091,Loyal,Abha,88195.81,17,5187.99
C00092,Returning,Jeddah,66720.57,26,2566.18
C00093,Returning,Makkah,72786.72,21,3466.03
C00094,Returning,Riyadh,58837.649999999994,16,3677.35
C00095,Returning,Abha,96836.0,26,3724.46
C00096,Loyal,Jeddah,86542.02,20,4327.1
C00097,Returning,Makkah,91353.53,22,4152.43
C00098,Returning,Madinah,66798.85,21,3180.9
C00099,Loyal,Abha,98205.3,24,4091.89
C00100,Returning,Abha,59990.68,17,3528.86
C00101,Returning,Abha,96841.43,24,4035.06
C00102,Returning,Khobar,76440.93000000001,20,3822.05
C00103,Returning,Abha,42636.78999999999,13,3279.75
C00104,Returning,Dammam,52225.72,16,3264.11
C00105,New,Riyadh,80864.06,18,4492.45
C00106,Returning,Jeddah,75142.85,21,3578.23
C00107,New,Khobar,65321.92,20,3266.1
C00108,New,Khobar,85561.84,18,4753.44
C00109,New,Riyadh,47664.47,14,3404.6
C00110,Returning,Riyadh,70566.85,23,3068.12
C00111,Returning,Abha,45583.43,21,2170.64
C00112,Returning,Abha,64825.04,20,3241.25
C00113,Returning,Dammam,77989.55,20,3899.48
C00114,Returning,Makkah,78861.89,18,4381.22
C00115,Loyal,Makkah,69494.33,21,3309.25
C00116,Loyal,Dammam,68561.9,18,3808.99
C00117,Returning,Dammam,72103.59,22,3277.44
C00118,Returning,Makkah,99814.68,26,3839.03
C00119,Loyal,Dammam,56803.71,16,3550.23
C00120,Returning,Khobar,64693.93,22,2940.63
C00121,Returning,Riyadh,93179.73,20,4658.99
C00122,Returning,Madinah,61725.58,23,2683.72
C00123,Returning,Dammam,90768.79,27,3361.81
C00124,Loyal,Dammam,59396.68,22,2699.85
C00125,New,Makkah,50348.57,20,2517.43
C00126,Loyal,Makkah,85914.73,32,2684.84
C00127,New,Riyadh,66224.22,23,2879.31
C00128,New,Makkah,58725.51,14,4194.68
C00129,Returning,Jeddah,50590.81,19,2662.67
C00130,New,Dammam,56952.72,19,2997.51
C00131,New,Madinah,68135.84,27,2523.55
C00132,New,Riyadh,87600.61,25,3504.02
C00133,Returning,Madinah,49523.16,14,3537.37
C00134,Returning,Riyadh,73936.88,18,4107.6
C00135,Loyal,Jeddah,108954.33,26,4190.55
C00136,Returning,Jeddah,62188.6,23,2703.85
C00137,Returning,Dammam,106237.22,25,4249.49
C00138,Returning,Riyadh,32573.17,14,2326.65
C00139,Loyal,Dammam,78497.01,25,3139.88
C00140,Returning,Khobar,85954.46,26,3305.94
C00141,Returning,Abha,74389.42,20,3719.47
C00142,Loyal,Riyadh,80700.2,22,3668.19
C00143,Returning,Dammam,50943.85,16,3183.99
C00144,New,Makkah,54746.19,14,3910.44
C00145,New,Abha,22277.84,10,2227.78
C00146,New,Abha,89856.39,27,3328.01
C00147,Loyal,Jeddah,45086.27,9,5009.59
C00148,New,Makkah,76902.3,20,3845.12
C00149,New,Makkah,51466.979999999996,18,2859.28
C00150,Loyal,Riyadh,73536.56999999999,19,3870.35
C00151,New,Dammam,97294.93,28,3474.82
C00152,New,Madinah,33956.96,15,2263.8
C00153,New,Jeddah,80070.73,19,4214.25
C00154,Loyal,Jeddah,44615.87,18,2478.66
C00155,Returning,Khobar,67685.79,19,3562.41
C00156,Loyal,Riyadh,94451.16,28,3373.26
C00157,New,Makkah,103381.53,26,3976.21
C00158,Returning,Khobar,50738.04,13,3902.93
C00159,Loyal,Abha,53461.81,10,5346.18
C00160,New,Makkah,58752.78,16,3672.05
C00161,New,Dammam,46492.29,14,3320.88
C00162,Loyal,Riyadh,63670.68,20,3183.53
C00163,New,Riyadh,47254.0,15,3150.27
C00164,Returning,Riyadh,70278.73,22,3194.49
C00165,New,Abha,72654.72,22,3302.49
C00166,Returning,Madinah,20960.49,12,1746.71
C00167,Returning,Abha,108028.33,25,4321.13
C00168,New,Abha,110746.31,24,4614.43
C00169,New,Makkah,60859.21,18,3381.07
C00170,New,Jeddah,60539.340000000004,19,3186.28
C00171,New,Jeddah,67137.44,19,3533.55
C00172,Returning,Madinah,62162.52,23,2702.72
C00173,Returning,Riyadh,75449.9,22,3429.54
C00174,New,Khobar,79765.28,22,3625.69
C00175,New,Jeddah,85297.6,22,3877.16
C00176,Returning,Jeddah,55554.4,16,3472.15
C00177,Loyal,Riyadh,39683.770000000004,11,3607.62
C00178,Loyal,Madinah,33246.880000000005,11,3022.44
C00179,Returning,Riyadh,70635.51999999999,19,3717.66
C00180,Loyal,Jeddah,90690.55,23,3943.07
C00181,Returning,Abha,63441.869999999995,18,3524.55
C00182,Returning,Dammam,60557.33,20,3027.87
C00183,New,Abha,77516.5,22,3523.48
C00184,New,Riyadh,96962.57,26,3729.33
C00185,Returning,Jeddah,70227.52,17,4131.03
C00186,Returning,Makkah,79082.25,19,4162.22
C00187,Returning,Abha,50593.57,13,3891.81
C00188,Returning,Riyadh,75903.2,24,3162.63
C00189,Returning,Dammam,83381.75,22,3790.08
C00190,Returning,Khobar,91987.01,28,3285.25
C00191,Returning,Dammam,59341.270000000004,16,3708.83
C00192,Returning,Khobar,66225.81,21,3153.61
C00193,Loyal,Makkah,98925.87,20,4946.29
C00194,Returning,Riyadh,63057.96,21,3002.76
C00195,Returning,Madinah,67850.94,16,4240.68
C00196,New,Khobar,73175.31,22,3326.15
C00197,Returning,Khobar,91041.09,21,4335.29
C00198,Loyal,Dammam,41349.44,16,2584.34
C00199,New,Riyadh,60091.03,19,3162.69
C00200,Loyal,Khobar,77802.74,17,4576.63
C00201,New,Abha,46683.17,13,3591.01
C00202,Returning,Makkah,78395.76999999999,18,4355.32
C00203,Loyal,Riyadh,78842.77,19,4149.62
C00204,Returning,Abha,50168.24,11,4560.75
C00205,New,Madinah,62686.5,14,4477.61
C00206,Returning,Makkah,42792.86,20,2139.64
