customer_id,customer_name,gender,age,city,customer_type,registration_date
C00001,Customer 00001,Female,21,Madinah,Returning,2024-08-25
C00002,Customer 00002,Male,33,Abha,New,2026-02-05
C00003,Customer 00003,Female,36,Madinah,New,2026-03-19
C00004,Customer 00004,Male,27,Makkah,Returning,2025-03-17
C00005,Customer 00005,Male,37,Riyadh,New,2024-09-17
C00006,Customer 00006,Female,59,Dammam,New,2024-04-09
C00007,Customer 00007,Male,41,Riyadh,Returning,2025-01-04
C00008,Customer 00008,Male,55,Makkah,Loyal,2025-04-21
C00009,Customer 00009,Male,33,Riyadh,New,2026-04-02
C00010,Customer 00010,Male,50,Khobar,New,2025-10-31
C00011,Customer 00011,Male,62,Riyadh,New,2025-03-21
C00012,Customer 00012,Male,52,Khobar,New,2025-06-27
C00013,Customer 00013,Male,24,Dammam,Loyal,2024-03-21
C00014,Customer 00014,Male,27,Khobar,New,2024-05-18
C00015,Customer 00015,Female,47,Madinah,New,2024-03-20
C00016,Customer 00016,Male,46,Riyadh,Loyal,2025-03-20
C00017,Customer 00017,Male,58,Riyadh,Returning,2025-02-16
C00018,Customer 00018,Male,55,Khobar,Loyal,2024-09-19
C00019,Customer 00019,Female,62,Riyadh,Returning,2026-05-21
C00020,Customer 00020,Female,65,Khobar,Returning,2025-10-22
C00021,Customer 00021,Female,33,Riyadh,Loyal,2024-04-11
C00022,Customer 00022,Male,28,Dammam,Returning,2025-07-26
C00023,Customer 00023,Male,21,Abha,New,2025-10-24
C00024,Customer 00024,Female,18,Dammam,New,2025-08-16
C00025,Customer 00025,Male,51,Abha,Returning,2026-01-13
C00026,Customer 00026,Male,60,Jeddah,Returning,2024-07-31
C00027,Customer 00027,Male,24,Abha,Returning,2024-02-24
C00028,Customer 00028,Male,42,Abha,Loyal,2024-08-26
C00029,Customer 00029,Female,18,Khobar,Loyal,2025-06-04
C00030,Customer 00030,Female,24,Dammam,Loyal,2024-03-22
C00031,Customer 00031,Male,43,Dammam,Returning,2024-06-13
C00032,Customer 00032,Male,20,Abha,Returning,2024-04-28
C00033,Customer 00033,Male,49,Dammam,Loyal,2024-06-19
C00034,Customer 00034,Female,46,Jeddah,New,2026-02-01
C00035,Customer 00035,Female,30,Abha,Returning,2024-06-15
C00036,Customer 00036,Female,37,Makkah,Returning,2025-04-24
C00037,Customer 00037,Female,45,Abha,Loyal,2025-10-07
C00038,Customer 00038,Male,38,Riyadh,Returning,2026-04-28
C00039,Customer 00039,Male,56,Jeddah,Returning,2025-01-20
C00040,Customer 00040,Male,22,Khobar,Loyal,2025-08-14
C00041,Customer 00041,Female,50,Riyadh,New,2024-11-19
C00042,Customer 00042,Female,26,Riyadh,New,2026-04-07
C00043,Customer 00043,Male,61,Jeddah,New,2024-11-04
C00044,Customer 00044,Male,53,Khobar,Loyal,2025-08-04
C00045,Customer 00045,Female,42,Dammam,Returning,2025-08-10
