month,revenue,profit,orders
2025-01,24062457.98,4919422.36,6709
2025-02,22159670.2,4454079.52,6146
2025-03,24150435.6,4907368.09,6767
2025-04,23181028.28,4798778.04,6504
2025-05,24872263.79,5062373.01,6936
2025-06,23631092.89,4886400.93,6562
2025-07,23778046.65,4852377.71,6756
2025-08,24707997.85,5032574.73,6934
2025-09,23641399.92,4806778.69,6521
2025-10,24192504.98,4981362.69,6812
2025-11,22961165.8,4660662.52,6493
2025-12,24813148.58,5095425.49,6933
2026-01,24593441.67,4976779.77,6904
2026-02,21805054.93,4417057.64,6134
2026-03,25077000.15,5106735.16,6911
2026-04,23843200.51,4940514.4,6601
2026-05,24078512.96,4952663.4,6741
2026-06,23605472.3,4845848.26,6636
