product_id,product_name,category,revenue,profit,units,profit_margin
P0001,Brand A Coffee 1,Food & Beverage,1932376.32,331827.73,1961,0.1717
P0002,Brand D Packaged Food 2,Food & Beverage,3261119.97,617394.55,1783,0.1893
P0003,Brand D Television 3,Electronics,344906.02,100172.92,1970,0.2904
P0004,Brand E Men 4,Fashion,1923477.65,638145.25,1994,0.3318
P0005,Brand E Packaged Food 5,Food & Beverage,937210.76,183137.16,2104,0.1954
P0006,Brand A Laptop 6,Electronics,3103995.37,826039.69,1848,0.2661
P0007,Brand B Coffee 7,Food & Beverage,1583295.93,307060.41,1896,0.1939
P0008,Brand A Laptop 8,Electronics,2038605.5,250972.25,2075,0.1231
P0009,Brand C Accessories 9,Fashion,4068704.6,1037714.7999999999,2020,0.255
P0010,Brand E Microwave 10,Home Appliances,3427823.63,583334.3,1961,0.1702
P0011,Brand E Mobile 11,Electronics,590284.04,70224.2,1999,0.119
P0012,Brand E Audio 12,Electronics,3393581.5100000002,874613.59,2099,0.2577
P0013,Brand C Coffee 13,Food & Beverage,2367864.0100000002,243912.71,2066,0.103
P0014,Brand E Laptop 14,Electronics,2371650.0,513249.72000000003,2178,0.2164
P0015,Brand D Coffee 15,Food & Beverage,2784834.43,608856.09,2174,0.2186
P0016,Brand A Microwave 16,Home Appliances,1882304.39,234735.07,2081,0.1247
P0017,Private Label Small Appliance 17,Home Appliances,934061.37,71845.12,2011,0.0769
P0018,Brand B Accessories 18,Electronics,3014657.66,648894.26,1980,0.2152
P0019,Brand D Household 19,Food & Beverage,2117383.58,600490.07,2057,0.2836
P0020,Brand A Mobile 20,Electronics,486008.57,128221.47,2090,0.2638
P0021,Brand A Microwave 21,Home Appliances,2257294.36,246763.57,2217,0.1093
P0022,Brand C Kids 22,Fashion,1702816.02,254397.23,2093,0.1494
P0023,Brand C Footwear 23,Fashion,354456.57,34027.770000000004,1920,0.096
P0024,Private Label Beverages 24,Food & Beverage,2807240.96,397166.64,1909,0.1415
P0025,Brand E Beverages 25,Food & Beverage,3158744.65,586510.18,1989,0.1857
P0026,Brand A Television 26,Electronics,3991046.2800000003,738100.62,2001,0.1849
P0027,Brand B Audio 27,Electronics,2280704.95,246772.55,1943,0.1082
P0028,Brand E Snacks 28,Food & Beverage,3135564.1,568436.58,1978,0.1813
P0029,Brand D Men 29,Fashion,2690221.33,231131.25,2096,0.0859
P0030,Brand A Microwave 30,Home Appliances,2164562.11,342100.99,2038,0.158
P0031,Brand A Audio 31,Electronics,2533199.9,270333.62,2131,0.1067
P0032,Brand D Household 32,Food & Beverage,1546810.56,348731.46,1899,0.2255
P0033,Private Label Television 33,Electronics,2625941.73,725597.41,2176,0.2763
P0034,Brand C Mobile 34,Electronics,2494618.27,804050.16,1903,0.3223
P0035,Brand C Kids 35,Fashion,1110114.28,169462.36000000002,1928,0.1527
P0036,Brand C Small Appliance 36,Home Appliances,151681.38,43979.1,2212,0.2899
P0037,Brand A Coffee 37,Food & Beverage,2240121.03,205627.71,2031,0.0918
P0038,Brand B Men 38,Fashion,3209427.42,848923.71,1983,0.2645
P0039,Brand A Beverages 39,Food & Beverage,3588894.37,452890.70999999996,1901,0.1262
P0040,Brand D Television 40,Electronics,2011393.77,588685.32,2111,0.2927
P0041,Brand B Household 41,Food & Beverage,4194504.6899999995,605281.21,2092,0.1443
P0042,Brand B Small Appliance 42,Home Appliances,3722957.47,402483.07,1970,0.1081
P0043,Brand C Mobile 43,Electronics,5076727.01,1575481.01,1960,0.3103
P0044,Private Label Accessories 44,Fashion,4219945.22,883928.51,2073,0.2095
P0045,Brand E Refrigerator 45,Home Appliances,3035473.37,506992.08,2117,0.167
P0046,Brand E Audio 46,Electronics,1350669.27,434731.07,1909,0.3219
P0047,Brand A Television 47,Electronics,3296298.04,329374.14999999997,1981,0.0999
P0048,Brand D Mobile 48,Electronics,3507671.25,418174.58,1961,0.1192
P0049,Brand E Small Appliance 49,Home Appliances,4296765.88,864109.5399999999,1962,0.2011
P0050,Brand A Accessories 50,Electronics,954778.62,95775.42,2040,0.1003
