order_id,order_date,customer_id,product_id,store_id,quantity,discount,payment_method,gross_revenue,discount_amount,revenue,cost_amount,profit
O0000001,2026-06-27,C03474,P0044,S003,1,0.0,Cash,2159.81,0.0,2159.81,1609.27,550.54
O0000002,2025-05-03,C03362,P0032,S008,4,0.15,Card,3474.32,521.148,2953.17,2523.6,429.57
O0000003,2025-08-31,C02051,P0005,S001,4,0.0,Online,1889.68,0.0,1889.68,1433.6,456.08
O0000004,2025-09-25,C00407,P0100,S013,3,0.1,Card,5893.59,589.359,5304.23,4751.31,552.92
O0000005,2025-03-23,C03183,P0096,S011,1,0.05,Card,2145.22,107.261,2037.96,1532.46,505.5
O0000006,2025-12-28,C05090,P0158,S006,3,0.0,Card,5686.5,0.0,5686.5,3860.19,1826.31
O0000007,2025-01-27,C04316,P0114,S012,2,0.2,Card,851.0,170.20000000000002,680.8,539.56,141.24
O0000008,2026-05-05,C01850,P0158,S003,1,0.1,Card,1895.5,189.55,1705.95,1286.73,419.22
O0000009,2025-02-18,C03626,P0107,S009,5,0.0,Cash,8682.45,0.0,8682.45,7549.9,1132.55
O0000010,2025-03-02,C00646,P0031,S009,5,0.0,Card,6353.65,0.0,6353.65,5309.4,1044.25
O0000011,2025-04-05,C03839,P0082,S009,5,0.05,Card,9168.6,458.43000000000006,8710.17,7753.45,956.72
O0000012,2026-05-03,C02168,P0158,S007,2,0.1,Card,3791.0,379.1,3411.9,2573.46,838.44
O0000013,2026-04-16,C03385,P0017,S004,3,0.1,Card,1487.28,148.728,1338.55,1286.25,52.3
O0000014,2026-05-19,C00485,P0101,S003,5,0.0,Online,12719.95,0.0,12719.95,8992.0,3727.95
O0000015,2026-03-31,C02561,P0096,S014,4,0.15,Card,8580.88,1287.1319999999998,7293.75,6129.84,1163.91
O0000016,2026-05-20,C00163,P0042,S010,2,0.05,Card,4026.56,201.328,3825.23,3371.04,454.19
O0000017,2025-09-15,C04536,P0066,S009,2,0.0,Online,110.56,0.0,110.56,95.7,14.86
O0000018,2025-01-03,C02246,P0096,S010,3,0.1,Card,6435.66,643.566,5792.09,4597.38,1194.71
O0000019,2025-08-28,C05769,P0128,S010,5,0.0,Bank Transfer,7643.5,0.0,7643.5,6697.1,946.4
O0000020,2025-05-01,C02986,P0044,S004,5,0.05,Online,10799.05,539.9525,10259.1,8046.35,2212.75
O0000021,2025-05-14,C00552,P0178,S001,2,0.05,Online,541.76,27.088,514.67,384.78,129.89
O0000022,2026-01-13,C05406,P0169,S011,3,0.0,Card,1273.26,0.0,1273.26,1114.62,158.64
O0000023,2025-04-02,C02825,P0109,S009,5,0.05,Bank Transfer,2088.75,104.4375,1984.31,1439.15,545.16
O0000024,2025-06-25,C02326,P0001,S011,4,0.0,Online,4166.4,0.0,4166.4,3264.76,901.64
O0000025,2025-08-03,C04085,P0091,S009,4,0.1,Card,9493.8,949.38,8544.42,6472.32,2072.1
O0000026,2025-02-03,C04848,P0065,S002,2,0.2,Cash,760.08,152.01600000000002,608.06,612.6,-4.54
O0000027,2026-01-18,C04296,P0055,S002,1,0.0,Card,1906.51,0.0,1906.51,1665.41,241.1
