store_id,store_name,city,revenue,profit,orders,profit_margin
S001,Jeddah Branch 1,Jeddah,30490349.45,6316198.35,8608,0.2072
S002,Riyadh Branch 1,Riyadh,30570762.69,6322064.22,8604,0.2068
S003,Dammam Branch 1,Dammam,30999007.39,6235407.31,8662,0.2011
S004,Makkah Branch 1,Makkah,30945251.46,6342253.71,8584,0.205
S005,Madinah Branch 1,Madinah,29712325.55,6055322.12,8336,0.2038
S006,Abha Branch 1,Abha,30434092.34,6157816.41,8550,0.2023
S007,Khobar Branch 1,Khobar,30303880.47,6195531.63,8511,0.2044
S008,Jeddah Branch 2,Jeddah,31140278.02,6409950.78,8638,0.2058
S009,Riyadh Branch 2,Riyadh,30555493.06,6190241.43,8473,0.2026
S010,Dammam Branch 2,Dammam,30825577.93,6319948.48,8561,0.205
S011,Makkah Branch 2,Makkah,31010201.37,6276071.94,8692,0.2024
S012,Madinah Branch 2,Madinah,31180094.03,6356173.41,8696,0.2039
S013,Abha Branch 2,Abha,30862076.73,6314494.79,8653,0.2046
S014,Khobar Branch 2,Khobar,30124504.55,6205727.83,8432,0.206
